"Year","LEA","LEA Name","PublicSeniorInstitutions","PrivateSeniorInstitutions","CommunityTechnicalCollege","PrivateJuniorInstitutions","TradeBusinessNursing","Other","Total"
"2023","710","Pender County Schools","       358","        16","       268","-","*","       137","       782"
"2023","720","Perquimans County Schools","        78","*","        25","-","-","         9","       114"
"2023","730","Person County Schools","        70","         8","        98","-","*","       111","       288"
"2023","73B","Roxboro Community School","        31","         8","        23","*","*","         8","        72"
"2023","740","Pitt County Schools","       530","        59","       759","*","         8","       267","     1,624"
"2023","750","Polk County Schools","        54","         8","        53","-","*","        42","       159"
"2023","760","Randolph County School System","       249","        71","       445","-","        20","       287","     1,072"
"2023","761","Asheboro City Schools","        59","        22","       110","*","*","       102","       296"
"2023","76A","Uwharrie Charter Academy","        33","        12","        49","-","*","        32","       130"
"2023","770","Richmond County Schools","       112","        13","       122","*","        11","       157","       416"
"2023","780","Public Schools of Robeson County","       490","        33","       431","*","         7","       358","     1,320"
"2023","790","Rockingham County Schools","       202","        34","       242","-","*","       283","       764"
"2023","79A","Bethany Community School","        26","*","        24","-","         9","         7","        70"
"2023","800","Rowan-Salisbury Schools","       287","       105","       444","*","         9","       531","     1,379"
"2023","810","Rutherford County Schools","        96","        47","       289","*","*","        97","       535"
"2023","81A","Thomas Jefferson Classical Academy","        33","        10","        22","-","-","*","        69"
"2023","81B","Lake Lure Classical Academy","         5","         5","         8","-","-","*","        21"
"2023","820","Sampson County Schools","        91","        52","       241","*","*","       133","       523"
"2023","821","Clinton City Schools","        37","        20","        63","-","*","        59","       180"
"2023","830","Scotland County Schools","       103","        14","        83","-","-","       125","       325"
"2023","840","Stanly County Schools","       131","        36","       209","-","*","       176","       554"
"2023","84B","Gray Stone Day School","        40","        20","        20","*","*","         5","        87"
"2023","850","Stokes County Schools","        54","        34","       173","-","        17","        97","       375"
"2023","860","Surry County Schools","        99","        36","       249","-","*","       180","       565"
"2023","861","Elkin City Schools","        30","        14","        37","-","-","        21","       102"
"2023","862","Mount Airy City Schools","        32","         7","        56","-","-","        32","       127"
"2023","86T","Millennium Charter Academy","         8","         5","        16","-","-","*","        31"
"2023","870","Swain County Schools","        50","         6","        37","-","-","        45","       138"
"2023","880","Transylvania County Schools","        51","        25","        76","-","*","        62","       215"
"2023","890","Tyrrell County Schools","         7","*","        29","-","-","        12","        51"
"2023","900","Union County Public Schools","     1,238","       536","       853","        23","        98","       633","     3,381"
"2023","90A","Union Academy Charter School","        57","        21","        32","-","-","         7","       117"
"2023","90F","Apprentice Academy HS of NC","        10","-","        26","-","-","        21","        57"
"2023","910","Vance County Schools","        70","*","        71","*","-","        93","       241"
"2023","91A","Vance Charter School","        28","*","        35","-","*","        16","        84"
"2023","91B","Henderson Collegiate","        55","         5","        21","-","-","*","        82"
"2023","920","Wake County Schools","     7,334","       706","     2,740","        37","       127","     1,236","    12,180"
"2023","92F","Franklin Academy","        67","        12","        22","-","*","         8","       110"
"2023","92G","East Wake Academy","        34","         8","        21","-","*","        20","        85"
"2023","92K","Raleigh Charter High School","       100","        31","*","-","*","*","       137"
"2023","92P","Southern Wake Academy","        11","*","        32","-","*","        11","        59"
"2023","92T","Triangle Math and Science Academy","        38","*","        13","-","-","*","        58"
"2023","92U","Longleaf School of the Arts","        28","        16","         9","-","-","         9","        62"
"2023","930","Warren County Schools","        46","*","        40","-","*","        31","       124"
"2023","93A","Haliwa-Saponi Tribal School","-","-","*","-","-","        11","        14"
"2023","93L","Central Wake Charter High School","*","-","         5","-","-","        29","        35"
"2023","940","Washington County Schools","        29","*","        13","-","-","        20","        66"
"2023","94Z","Northeast Regional School - Biotech/Agri","        21","-","-","-","-","-","        21"
"2023","950","Watauga County Schools","       147","        21","        75","         9","*","        95","       350"
"2023","960","Wayne County Public Schools","       222","        46","       467","*","        26","       366","     1,131"
"2023","96F","Wayne Preparatory","        11","         6","        27","-","*","        16","        62"
"2023","970","Wilkes County Schools","       106","        32","       341","*","        10","       134","       624"
"2023","980","Wilson County Schools","       212","        31","       225","        20","        12","       225","       725"
"2023","98A","Sallie B Howard School","         6","*","         7","-","-","*","        16"
"2023","98B","Wilson Preparatory Academy","        18","*","         5","*","-","*","        29"
"2023","990","Yadkin County Schools","        40","        11","       202","-","-","       104","       357"
"2023","995","Yancey County Schools","        27","         7","        49","-","-","        68","       151"
"2023","998","NCDPS Juvenile Education Services","-","-","        18","-","-","-","        18"
"2023","-","State Total","    37,739","     7,745","    34,096","       280","     1,434","    26,237","   107,531"
"2022","00A","North Carolina Cyber Academy","        40","        17","        77","-","         8","        29","       171"
"2022","00B","NC Virtual Academy","        15","*","        71","-","*","        58","       152"
"2022","010","Alamance-Burlington Schools","       356","       123","       516","*","        33","       479","     1,511"
"2022","01B","River Mill Academy","        18","*","        20","-","*","*","        46"
"2022","01C","Clover Garden","        18","*","        25","-","-","*","        49"
"2022","01D","The Hawbridge School","        19","         9","         7","-","-","*","        36"
"2022","020","Alexander County Schools","        49","        24","       129","-","-","        79","       281"
"2022","030","Alleghany County Schools","        14","         5","        45","*","*","        17","        84"
"2022","040","Anson County Schools","        26","        25","        56","-","*","        75","       186"
"2022","050","Ashe County Schools","        52","        10","        50","-","         8","        53","       173"
"2022","060","Avery County Schools","        27","        14","        44","-","         7","        44","       136"
"2022","06B","Marjorie Williams Academy","-","-","*","-","-","*","*"
"2022","070","Beaufort County Schools","        88","        15","       222","        13","-","        53","       391"
"2022","07A","Washington Montessori","*","*","         7","-","-","-","        13"
"2022","080","Bertie County Schools","        39","*","        37","-","*","        66","       145"
"2022","090","Bladen County Schools","        68","        11","       118","-","*","       116","       316"
"2022","09A","Paul R Brown Leadership Academy","*","-","*","-","*","         8","        17"
"2022","100","Brunswick County Schools","       223","        32","       331","-","        12","       273","       871"
"2022","110","Buncombe County Schools","       488","       144","       530","        12","        12","       461","     1,647"
"2022","111","Asheville City Schools","       162","        48","        48","*","*","        75","       336"
"2022","11C","Invest Collegiate - Imagine","         8","*","        15","-","-","        11","        37"
"2022","11D","The Franklin School of Innovation","        22","        13","        13","-","*","         7","        56"
"2022","120","Burke County Schools","       168","        50","       303","*","*","       250","       774"
"2022","130","Cabarrus County Schools","       883","       218","       652","         5","        30","       559","     2,347"
"2022","132","Kannapolis City Schools","        63","        32","       118","-","*","       136","       350"
"2022","13A","Carolina International School","        23","-","         6","-","*","        13","        43"
"2022","13B","Cabarrus Charter Academy","-","-","        15","-","-","        17","        32"
"2022","140","Caldwell County Schools","       146","        99","       291","*","*","       210","       752"
"2022","150","Camden County Schools","        46","        15","        38","-","         6","        44","       149"
"2022","160","Carteret County Public Schools","       192","        50","       182","*","*","       114","       543"
"2022","170","Caswell County Schools","        36","        13","        50","-","*","        45","       147"
"2022","180","Catawba County Schools","       234","       102","       403","*","        16","       246","     1,002"
"2022","181","Hickory City Schools","        63","        17","        87","*","*","        74","       245"
"2022","182","Newton Conover City Schools","        39","        13","        95","-","*","        44","       192"
"2022","190","Chatham County Schools","       219","        34","       240","*","*","       112","       612"
"2022","19A","Chatham Charter","        30","-","        11","-","-","*","        45"
"2022","19B","Woods Charter School","        31","        10","*","-","-","*","        46"
"2022","200","Cherokee County Schools","        62","        20","        58","-","-","        68","       208"
"2022","210","Edenton-Chowan Schools","        39","*","        50","-","-","        38","       131"
"2022","220","Clay County Schools","        22","         6","        26","-","-","        19","        73"
"2022","230","Cleveland County Schools","       195","        98","       298","-","        27","       311","       929"
"2022","23A","Pinnacle Classical Academy","         6","         8","         8","-","-","         7","        29"
"2022","240","Columbus County Schools","        97","        12","       159","-","-","       110","       378"
"2022","241","Whiteville City Schools","        59","        15","        49","-","*","        43","       167"
"2022","24B","Thomas Academy","*","-","         5","-","*","         8","        17"
"2022","250","Craven County Schools","       197","        50","       279","*","        24","       253","       807"
"2022","260","Cumberland County Schools","     1,151","       172","       829","         8","        35","       911","     3,106"
"2022","26B","Alpha Academy","*","-","         5","-","-","*","        12"
"2022","270","Currituck County Schools","        61","        12","        58","*","         7","        92","       231"
"2022","280","Dare County Schools","       160","        37","       116","-","*","        94","       411"
